,ExtractedSeries,Citation
392,BPIR,[1996] BPIR 196
393,CP Rep,[2002] CP Rep. 14
394,WLR,[1962] 1 WLR. 295
395,WLR,[1995] 1 WLR 68
396,Jenkins,Jenkins 1
397,Jenkins,Jenkins 1
398,Jenkins,Jenkins 1
399,Jenkins,Jenkins 1
400,Jenkins,Jenkins 1
401,Jenkins,Jenkins 1
402,Jenkins,Jenkins 1
403,Jenkins,Jenkins 1
404,Jenkins,Jenkins 1
405,Jenkins,Jenkins 1
406,Jenkins,Jenkins 1
407,Jenkins,Jenkins 1
408,Jenkins,Jenkins 1
409,Jenkins,Jenkins 1
410,Jenkins,Jenkins 1
411,Jenkins,Jenkins 1
412,Jenkins,Jenkins 1
413,Jenkins,Jenkins 1
414,Jenkins,Jenkins 1
415,Jenkins,Jenkins 1
416,Jenkins,Jenkins 1
417,Jenkins,Jenkins 1
418,Jenkins,Jenkins 1
419,Jenkins,Jenkins 1
420,Jenkins,Jenkins 1
421,Jenkins,Jenkins 1
422,Jenkins,Jenkins 1
423,Jenkins,Jenkins 1
424,Jenkins,Jenkins 1
425,Jenkins,Jenkins 1
426,Jenkins,Jenkins 1
427,Jenkins,Jenkins 1
428,Jenkins,Jenkins 1
429,Jenkins,Jenkins 1
430,Jenkins,Jenkins 1
431,Jenkins,Jenkins 1
432,Jenkins,Jenkins 1
433,Jenkins,Jenkins 1
434,Jenkins,Jenkins 1
435,Jenkins,Jenkins 1
436,Jenkins,Jenkins 1
437,Jenkins,Jenkins 1
438,Jenkins,Jenkins 1
439,Jenkins,Jenkins 1
440,Jenkins,Jenkins 1
441,Jenkins,Jenkins 1
442,say,say 95
443,SLT,1982 SLT 533
444,SLT,1982 SLT 533
445,Beavan,(1855) 20 Beavan 632
446,Case C,Case C23/83
447,Case,Case 170/84)
448,Cases,Cases 75/82)
449,Case,Case 151/84
450,Case,Case 318/86)
451,Case,Case 109/88)
452,Case,Case 109/88)
453,Pen LR,[2001] Pen LR 51
454,Pen LR,[2001] Pen LR 283
455,Owen,Owen (1
456,Owen,Owen (1
457,CLR,(1962) 109 CLR 649
458,App Cas,(1881) 6 App Cas 251
459,Ch D,(1888) 39 Ch D 339
460,CLC,[2009] 1 CLC 909
461,CLR,(1984) 156 C.L.R. 41
462,CLR,(1939) 61 CLR 457
463,CLR,61 CLR 457
464,CLR,"60 C.L.R., 150"
465,NSWCA,[2010] NSWCA 268
466,NSWCA,[2010] NSWCA 268
467,NSWCA,[2001] NSWCA 187
468,NSWSC,[2002] NSWSC 17
469,ALR,(1987) 70 ALR 419
470,Ch,"Ch), [2014] 1"
471,Ch D,(1885) 29 Ch D 459
472,Ch D,(1876) 2 Ch D 663
473,Lloyds Rep,[1979] 2 Lloyds Rep 391
474,Lloyds Rep,[2007] 1 Lloyds Rep 264
475,HLC,7 HLC 750
476,HL Cas,7 HL Cas 750
477,Str,(1722) 1 Str. 505
478,CLC,[2011] 1 CLC 701
479,CLC,[2013] 1 CLC 662
480,CLC,[1996] CLC 518
481,CLC,[1998] CLC 277
482,Lloyds Rep,2 Lloyd’s Rep 61
483,WLR,1973 1 WLR 1549
484,WLR,[2000] 1WLR 1484
485,Case C,Case C-117/02
486,Cases C,Cases C-6/90
487,Cases C,Cases C-6/90
488,Cases C,Cases C-430/93
489,Case C,Case C-62/93
490,ECR,[1978] ECR 629
491,case,case 106/77
492,Case,[(Case 106/77
493,Case,Case 6/60
494,Case,Case 33/76
495,ENVLR,[2008] ENV.L.R 34
496,ENV LR,[2009] ENV LR 27
497,Env LR,[2006] Env. L.R.8
498,Env LR,[2005] Env. L.R.16
499,JPL,[2001] JPL 786
500,EWHC Admin,[2011] EWHC 97(Admin)
501,AC,[2012] 1AC 1
502,WLR,[2008] 1 WLR 1587
503,WLR,[2011] 1 WLR 268
504,WLR,[2008] 1WLR 1587
505,WLR,[1990]1WLR 1545
506,Case C,Case C-127-02
507,Case C,Case C128/09
508,case C,case C-456/08
509,NICA,[2011] NICA 17
510,Med LR,[1990] 1 Med LR 119
511,EWHC  Admin,2013] EWHC 2575 (Admin)
512,EWHC Admin,[2008] EWHC 1812(Admin)
513,EWCA CIV,[2002] [EWCA CIV1012
514,EWCA Civ,[2003] EWCA Civ.140
515,EWCA Civ,[2011] EWCA Civ.157
516,EnvLR,[2002]Env.L.R.14
517,Env LR,[2003] Env. L.R.28
518,Env LR,[2004] Env. L.R.21
519,EnvLR,[2004] Env.L.R.29
520,Env LR,[2011] Env. L.R.27
521,Env LR,[2011] Env. L.R. 5
522,Med LR,[1990] 1 Med. L.R. 219
523,EWHC QB,[2008] EWHC1934 (QB)
524,EWHC  Admin,[2007] EWHC (2134 (Admin)
525,EWHC Admin,[2013] EWHC (Admin) 682
526,MHLR,[2005] 1 MHLR 17
527,MHLR,[2005] 1 MHLR 17
528,LGR,[1985] 84 LGR 168
529,EWCA Civ,[2011] EWCA Civ.453
530,EWHC  Admin,[2002[ EWHC 1292 (Admin)
531,CH,[1971] CH.700
532,AC,(1972) AC 217
533,WLR,[2004] 1 WLR 378
534,ELR,[1998] ELR 319
535,EWHC  Admin,[2009] [EWHC 1732] (Admin)
536,EWHC  Admin,[2011] [EWHC 1332] (Admin)
537,EWHC  Admin,[2011] [EWHC 1332] (Admin)
538,EWCA Civ,[2012] [EWCA] Civ 376
539,EWCA Civ,[2012] [EWCA] Civ 376
540,EWCA Civ,[2002] [EWCA Civ 498]
541,EWCA Civ,[2010] [EWCA Civ 1345]
542,US,397 US 254
543,AC,[1962] [A.C. 322
544,AC,[1985 AC 374]
545,AC,[1992 1 AC 58]
546,AC,[2000] 2AC115
547,AC,[2003] 2AC430
548,WLR,[2002] 1WLR 419
549,MHLR,[2003] MHLR 381
550,EWHC  Admin,[2005] EWHC 1669 (Admin.)
551,UKHL,[2001]UKHL 47
552,AC,[1997] AC 286
553,AC,[1994] 1 AC 531
554,EWCA Crim,[2005] EWCA Crim. 2395
555,Imm AR,[2003] Imm AR 1
556,Imm AR,[2003] Imm AR 1
557,Imm AR,[2003] Imm AR 1
558,Imm AR,[2003] Imm AR 1
559,HCJAC,[2014] HCJAC 33
560,EWHC J,[1999] EWHC J1105-6
561,EWHC  Admin,[2004] EWHC 779 Admin.
562,LGR,[1979] 77 LGR 689
563,EWHC  Admin,[2012] EWHC 2542 (Admin)
564,NZLR,[1981] 1 NZLR 172
565,LGR,(1985) 84 LGR 168
566,LGR,(1985) 84 LGR 168
567,JPL,[1998] JPL 1073
568,COD,[1996] COD 479
569,WIR,(1999) 57 WIR 62
570,EWCA Civ,[2013] EWCA Civ 1345
571,LGR,(1985) 84 LGR 168
572,LGR,(1988) 87 LGR 435
573,Admin LR,(1990) 2 Admin LR 822
574,say,say 6
575,NIQB,[2004] NIQB 67
576,HLR,(1999) 32 HLR 439
577,HLR,(1995) 28 HLR 72
578,HLR,(2000) 32 HLR 636
579,Bell,Bell 1
580,Bell,Bell 1
581,Bell,Bell 1
582,LGR,80 LGR 534
583,EWCA Civ,2018] EWCA Civ 54
584,Case,Case 30/77)
585,EWHC  Admin,[2006] EWHC 2148 Admin.
586,EWHC  Admin,[2007] EWHC 2729 Admin
587,EWHC  Comm,[2013] EWHC 3560 (Comm)
588,WLR,[2013] 3 WLR 1020
589,ER,(1772) 98 ER 499
590,say,say) 6
591,case T,case T-237/08
592,Cases C,Cases C-300/98
593,Cases C,Cases C-300/98
594,Case C,Case C- 149/11
595,Case C,Case C547/14
596,Cases C,Cases C-171/07
597,Cases C,Cases C-171/07
598,Case C,Case C-398/13
599,cases C,cases C-20/00
600,Cases C,Cases C-293/12
601,Cases C,Cases C-403/08
602,Cases C,Cases C-92/92
603,Case C,Case C280/93
604,Cases C,Cases C-37/02
605,Case C,Case C119/12
606,ECR I,[1996] ECR I-3953
607,ECR I,[1994] ECR I-5267
608,SC,2013 SC 221
609,Case,Case 174/82
610,Case,Case 174/84
