id,family,description,uri_template,canonical_form,canonical_example,match_example,citation_type,is_canonical,is_neutral,jurisdiction,pattern
lrkb_multi,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Multi-Volume) (ICLR),,[dddd] d1 KB d2,[2022] 1 KB 123,[2022] 1 KB 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrkb_multi"", ""description"": ""King's Bench Division (1901-1952) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""KB""},{""LIKE_NUM"": true}]}"
lrkb_multi_a,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Multi-Volume) (ICLR),,[dddd] d1 KB d2,[2022] 1 KB 123,[2022] 1 K.B. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""lrkb_multi_a"", ""description"": ""King's Bench Division (1901-1952) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""K.B.""},{""LIKE_NUM"": true}]}"
lrpc,The Law Reports (Privy Council Appeals),The Law Reports (Privy Council Appeals) (1865-1875) (ICLR),,LR d1 PC d2,LR 1 PC 123,LR 1 PC 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrpc"", ""description"": ""The Law Reports (Privy Council Appeals) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""PC""},{""LIKE_NUM"": true}]}"
lrpd_first_ed,The Law Reports (Probate and Divorce Cases),The Law Reports (Probate and Divorce Cases) (1865-1875) (ICLR),,LR d1 PD d2,LR 1 PD 123,LR 1 PD 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrpd_first_ed"", ""description"": ""The Law Reports (Probate and Divorce Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""PD""},{""LIKE_NUM"": true}]}"
lrpd_second_ed,The Law Reports (Probate Divorce and Admiralty Division),The Law Reports (Probate Divorce and Admiralty Division) (1875-1890) (ICLR),,d1 PD d2,1 PD 123,1 PD 123,PubNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrpd_second_ed"", ""description"": ""The Law Reports (Probate Divorce and Admiralty Division) (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""LIKE_NUM"": true},{""ORTH"": ""PD""}, {""LIKE_NUM"": true}]}"
lrpd_third_ed,The Law Reports (Probate Divorce and Admiralty Division),The Law Reports (Probate Divorce and Admiralty Division) (1891-1971) (ICLR),,[dddd] P d+,[1971] P 123,[1971] P 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrpd_third_ed"", ""description"": ""The Law Reports (Probate Divorce and Admiralty Division) (1891-1971) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""P""},{""LIKE_NUM"": true}]}"
lrqb_first_ed,The Law Reports (Queen's Bench Cases),The Law Reports (Queen's Bench Cases) (1865-1875) (ICLR),,LR d1 QB d2,LR 1 QB 123,LR 1 QB 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrqb_first_ed"", ""description"": ""The Law Reports (Queen's Bench Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
lrqb_second_ed,The Law Reports (Queen's Bench Division),The Law Reports (Queen's Bench Division) (1875-1890) (ICLR),,d1 QBD d2,1 QBD 123,1 QBD 123,PubNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrqb_second_ed"", ""description"": ""The Law Reports (Queen's Bench Division) (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""LIKE_NUM"": true},{""ORTH"": ""QBD""}, {""LIKE_NUM"": true}]}"
lrqb_single,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR),,[dddd] QB d+,[2022] QB 123,[2022] QB 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrqb_single"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
lrqb_single_a,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR),,[dddd] QB d+,[2022] QB 123,[2022] Q.B. 123,PubYearAbbrNum,FALSE,FALSE,EW,"{""id"": ""lrqb_single_a"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Q.B.""},{""LIKE_NUM"": true}]}"
lrqb_single_b,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR),,[dddd] QB d+,[2022] QB 123,[2022 QB 123,PubYearAbbrNum,FALSE,FALSE,EW,"{""id"": ""lrqb_single_b"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
lrqb_multi,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR),,[dddd] d1 QB d2,[2022] 1 QB 123,[2022] 1 QB 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrqb_multi"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
lrqb_multi_a,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR),,[dddd] d1 QB d2,[2022] 1 QB 123,[2022] 1 Q.B. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""lrqb_multi_a"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""Q.B.""},{""LIKE_NUM"": true}]}"
lrqb_multi_b,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR),,[dddd] d1 QB d2,[2022] 1 QB 123,(2022) 1 QB 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrqb_multi_b"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""LIKE_NUM"": true}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
lrsd,The Law Reports (Scotch and Divorce Appeals),The Law Reports (Scotch and Divorce Appeals) (1866-1875) (ICLR),,LR d1 ScDiv d2,LR 1 ScDiv 123,LR 1 ScDiv 123,PubAbbrNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""lrsd"", ""description"": ""The Law Reports (Scotch and Divorce Appeals) (1866-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""LIKE_NUM"": true},{""ORTH"": ""ScDiv""},{""LIKE_NUM"": true}]}"
wlr,WLR,The Weekly Law Reports (ICLR),,[dddd] d1 WLR d2,[2022] 1 WLR 123,[2022] 1 WLR 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""wlr"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""WLR""},{""LIKE_NUM"": true}]}"
wlr_a,WLR,The Weekly Law Reports (ICLR),,[dddd] d1 WLR d2,[2022] 1 WLR 123,[2022] 1 W.L.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""wlr_a"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""W.L.R.""},{""LIKE_NUM"": true}]}"
wlr_b,WLR,The Weekly Law Reports (ICLR),,[dddd] d1 WLR d2,[2022] 1 WLR 123,(2022) 1 WLR 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""wlr_b"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""LIKE_NUM"": true}, {""ORTH"": ""WLR""},{""LIKE_NUM"": true}]}"
wlr_c,WLR,The Weekly Law Reports (ICLR),,[dddd] d1 WLR d2,[2022] 1 WLR 123,[2022] 1 WLR. 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""wlr_c"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""WLR""},{""ORTH"": "".""},{""LIKE_NUM"": true}]}"
wlr_d,WLR,The Weekly Law Reports (ICLR),,[dddd] d1 WLR d2,[2022] 1 WLR 123,2022 1 WLR 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""wlr_d"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""dddd""}, {""LIKE_NUM"": true}, {""ORTH"": ""WLR""},{""LIKE_NUM"": true}]}"
ewhc_scco,EWHC-SeniorCourtsCostsNew,High Court (Senior Court Costs Office) New,https://caselaw.nationalarchives.gov.uk/ewhc/scco/year/d1,[dddd] EWHC d+ (SCCO),[2022] EWHC 123 (SCCO),[2022] EWHC 123 (SCCO),NCitYearAbbrNumDiv,TRUE,TRUE,EW,"{""id"": ""ewhc_scco"", ""description"": ""High Court (Senior Court Costs Office) New"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""SCCO""}, {""ORTH"": "")""}]}"
ukait,UKAIT,"Asylum and Immigration Tribunal ",https://caselaw.nationalarchives.gov.uk/ukait/year/d1,[dddd] UKAIT d+,[2022] UKAIT 123,[2022] UKAIT 123,NCitYearAbbrNum,TRUE,TRUE,UK,"{""id"": ""ukait"", ""description"": ""Asylum and Immigration Tribunal"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKAIT""}, {""LIKE_NUM"": true}]}"
